Year,,Large-Cap Blend
2018,-5.31%,Large-Cap Blend
2017,14.03%,Large-Cap Blend
2016,9.08%,Large-Cap Blend
2015,-4.22%,Large-Cap Blend
2014,12.11%,Large-Cap Blend
2013,32.79%,Large-Cap Blend
2012,10.48%,Large-Cap Blend
2011,-0.22%,Large-Cap Blend
2010,13.33%,Large-Cap Blend
2009,32.16%,Large-Cap Blend
2008,-35.07%,Large-Cap Blend
2007,6.59%,Large-Cap Blend
2006,7.84%,Large-Cap Blend
2005,2.38%,Large-Cap Blend
2004,4.87%,Large-Cap Blend
2003,24.59%,Large-Cap Blend
2002,-29.97%,Large-Cap Blend
2001,-24.47%,Large-Cap Blend
2000,-13.82%,Large-Cap Blend
1999,N/A,Large-Cap Blend
